rank,term,avg_tfidf,doc_frequency,ngram_n
391,kandidat,0.009380620996508894,40,1
392,milik,0.009378494014447281,44,1
393,persen,0.00936220337631433,32,1
394,china,0.009348545865814248,30,1
395,iran irgc,0.00932407579790605,54,2
396,langkah,0.009320646848402682,45,1
397,ketua,0.009305092660415269,44,1
398,energi,0.009303946304164909,38,1
399,tanah,0.00930077694385487,40,1
400,perlawanan,0.009277293789866931,44,1
401,majelis ahli,0.009265660292175773,36,2
402,ledakan,0.00926372522716874,41,1
403,content,0.009244926854332836,49,1
404,berpengaruh,0.009211860961090218,48,1
405,menolak,0.009193236905378167,35,1
406,pengalaman,0.009188533555512364,37,1
407,pesan,0.009167869940540923,36,1
408,continue with,0.009164037912559162,49,2
409,penerjemah,0.009142485396123109,50,1
410,imbas,0.009135738477997844,38,1
411,menteri pertahanan,0.00913509688329035,47,2
412,badan,0.009116932448741531,39,1
413,angkatan bersenjata,0.009098996432040218,39,2
414,terlibat,0.009090506417755296,44,1
415,menilai,0.009067889076219077,47,1
416,berusia,0.009037584368390333,45,1
417,mengecam,0.009026139676131474,35,1
418,syahid,0.009016618404508627,43,1
419,mashhad,0.009012719900840889,41,1
420,pejabat iran,0.009012685306986273,42,2
421,sasaran,0.009008166291099943,45,1
422,with content,0.009005917140531556,47,2
423,strategis,0.008979756386638426,45,1
424,terluka,0.00896579930837782,42,1
425,ali khamenei serangan,0.0089513325370061,47,3
426,ali khamenei meninggal,0.008925986640211504,38,3
427,perang iran,0.008913777435446925,41,2
428,mendukung,0.008875920957218807,43,1
429,titik,0.008868177640116817,46,1
430,menjabat,0.008835955150080363,42,1
431,pengaruh,0.008829739380405155,41,1
432,tujuan,0.008814839300461876,45,1
433,struktur,0.008789485184026708,40,1
434,tasnim,0.008742128432830518,40,1
435,hak,0.008728930659829928,36,1
436,serangan militer,0.00871754950801733,45,2
437,iran israel,0.008705033813881343,39,2
438,dampak,0.008700831695697617,49,1
439,memegang,0.008695687178091181,45,1
440,pengumuman,0.008680450530325326,40,1
441,mendalam,0.008661880184746014,41,1
442,menetapkan,0.008627114229735918,41,1
443,menteri negeri,0.008609287820429887,44,2
444,diserang,0.008596618691087745,40,1
445,gambasvideo,0.008559131580731006,45,1
446,serangan rudal,0.008544461513828686,44,2
447,continue with content,0.00853990947338097,44,3
448,aset,0.008537596752846809,37,1
449,mendesak,0.00851469537275517,45,1
450,peran,0.008510375973529482,44,1
451,mengancam,0.008504298537518853,38,1
452,lebanon,0.008493665421598622,28,1
453,juru,0.008492749099031801,37,1
454,berlanjut,0.008488258227338985,41,1
455,bicara,0.008449470399718514,39,1
456,mojtaba khamenei pemimpin,0.008444386769648298,37,3
457,meluncurkan serangan,0.008442814080674182,40,2
458,perubahan,0.008436333978107924,43,1
459,wilayah israel,0.008411053027883015,47,2
460,serangan amerika serikat,0.008377808841739534,44,3
461,selatan,0.008363110300461711,34,1
462,televisi pemerintah iran,0.008350041790183695,44,3
463,terbuka,0.008342118131639811,43,1
464,khamenei meninggal dunia,0.008325369743602703,34,3
465,qatar,0.008318996210962052,40,1
466,mengeklaim,0.008292416145530898,34,1
467,membuka,0.008282835053623842,33,1
468,tewas serangan udara,0.008280579732444086,38,3
469,harga minyak,0.00825487933105475,30,2
470,turun,0.008241899575653515,35,1
471,militer timur,0.00818081073447191,40,2
472,iran mengonfirmasi,0.008178227925275025,42,2
473,libur nasional,0.008172827267075517,36,2
474,negosiasi,0.008161984807002266,30,1
475,agresi,0.008156074797859465,40,1
476,ali khamenei pemimpin,0.008122875172747051,38,3
477,sekutu,0.0081133180471533,38,1
478,iran membalas,0.008089549034431476,41,2
479,gabungan asisrael,0.008087119588907643,44,2
480,provinsi,0.008053333264971986,34,1
481,mengeluarkan,0.008044890217042848,33,1
482,irna,0.008014444727367034,34,1
483,serius,0.008013917172336156,37,1
484,total,0.008007031393235994,37,1
485,transisi,0.00799135578515558,34,1
486,menentukan,0.007989139725016291,33,1
487,korban tewas,0.007987602538256857,30,2
488,kantor,0.007973491282137066,33,1
489,zionis,0.00794020472902593,33,1
490,sanksi,0.007932013674438777,26,1
491,ali larijani,0.007924234334786447,29,2
492,berkabung nasional,0.007921332108871764,36,2
493,penunjukan,0.007905386876019528,30,1
494,mati,0.007899839098064552,35,1
495,iran masoud,0.00786363148847697,37,2
496,iran masoud pezeshkian,0.00786363148847697,37,3
497,kementerian negeri,0.007858256086688081,37,2
498,maret,0.007856978644364099,30,1
499,darah,0.007852289693152693,33,1
500,umat,0.007849835361955965,25,1
501,terbunuh,0.007848884196825544,36,1
502,diplomatik,0.007830740571437128,38,1
503,israel serangan,0.007821812316279512,36,2
504,tugas,0.007818245620558228,37,1
505,warga iran,0.00780174464133873,34,2
506,kejahatan,0.0077901197158578885,23,1
507,berkuasa,0.007769599115284298,37,1
508,menjalankan,0.00775088914637509,36,1
509,iran teheran,0.00773678710225638,39,2
510,tertinggi negara,0.007735917805073894,36,2
511,konfirmasi,0.007710768018738205,32,1
512,mengutip,0.007707953610905105,36,1
513,memperkuat,0.00768976627792781,35,1
514,keterangan,0.00767187275856784,32,1
515,komando,0.007671235907330184,32,1
516,ditemukan,0.00766901569150307,22,1
517,merespons,0.007654599982077072,36,1
518,balas,0.007645819842267613,37,1
519,kedutaan,0.007641297553173379,25,1
520,stabilitas,0.007638059847136602,39,1
521,juru bicara,0.007636698741093433,33,2
522,senjata nuklir,0.007630828116508572,27,2
523,iran mojtaba khamenei,0.007625630404631423,36,3
524,fasilitas militer,0.007625272097207754,41,2
525,jahat,0.007587341819167508,38,1
526,jiwa,0.007580851599014581,37,1
527,presiden iran masoud,0.007575767380690685,35,3
528,hamas,0.0075668785567826625,19,1
529,pemimpin tertinggi ali,0.007563214298594277,37,3
530,tertinggi ali,0.007563214298594277,37,2
531,tertinggi ali khamenei,0.007563214298594277,37,3
532,scroll continue,0.007552901740936415,38,2
533,tempur,0.0075525413797879375,29,1
