term,avg_tfidf,pos_tag,pos_label
mengonfirmasi,0.036022980442686155,VERB,Kata Kerja
menargetkan,0.035046371828734615,VERB,Kata Kerja
membalas,0.03310024310935837,VERB,Kata Kerja
meluncurkan,0.03243726868029454,VERB,Kata Kerja
menggantikan,0.032332707724620956,VERB,Kata Kerja
memimpin,0.032184881305984035,VERB,Kata Kerja
mengklaim,0.03061299230110665,VERB,Kata Kerja
muncul,0.029911608274638023,VERB,Kata Kerja
menyusul,0.029692703196172968,VERB,Kata Kerja
mencapai,0.028272915452509192,VERB,Kata Kerja
membunuh,0.02806683336583195,VERB,Kata Kerja
menyebabkan,0.0278875043955754,VERB,Kata Kerja
mengalami,0.027639351378266747,VERB,Kata Kerja
berkabung,0.027614396736231304,VERB,Kata Kerja
terpilih,0.026796571749623466,VERB,Kata Kerja
menghancurkan,0.026754566902009228,VERB,Kata Kerja
memilih,0.026709181828583433,VERB,Kata Kerja
hancur,0.02661075329800321,VERB,Kata Kerja
bersenjata,0.026589565433553442,VERB,Kata Kerja
dikenal,0.02643308324795008,VERB,Kata Kerja
dipilih,0.02545090026841551,VERB,Kata Kerja
melanjutkan,0.025385664765875036,VERB,Kata Kerja
menghadapi,0.02490330575087991,VERB,Kata Kerja
meningkat,0.024791756886342532,VERB,Kata Kerja
berhasil,0.02461269703655436,VERB,Kata Kerja
dianggap,0.023940145897307422,VERB,Kata Kerja
menyerukan,0.02387200555098843,VERB,Kata Kerja
menghantam,0.023015107383989965,VERB,Kata Kerja
terluka,0.022455188571812605,VERB,Kata Kerja
terlibat,0.022385567026808783,VERB,Kata Kerja
menetapkan,0.021625871783242757,VERB,Kata Kerja
berpengaruh,0.021605987028774292,VERB,Kata Kerja
menjabat,0.021339073480398586,VERB,Kata Kerja
mendalam,0.021182537452842737,VERB,Kata Kerja
berusia,0.020866196881149126,VERB,Kata Kerja
mengecam,0.02060343333236879,VERB,Kata Kerja
memegang,0.020287011096870314,VERB,Kata Kerja
menilai,0.019998908616783932,VERB,Kata Kerja
mendesak,0.019940853678866652,VERB,Kata Kerja
diserang,0.019680536256447903,VERB,Kata Kerja
berlanjut,0.019614028186833655,VERB,Kata Kerja
kirim,0.019413768509776146,VERB,Kata Kerja
mengancam,0.019098967394827224,VERB,Kata Kerja
mengutip,0.018969596021469838,VERB,Kata Kerja
turun,0.01890240644610856,VERB,Kata Kerja
terbunuh,0.018518381113490794,VERB,Kata Kerja
mengeklaim,0.01851433973766832,VERB,Kata Kerja
menjalankan,0.0184646867638113,VERB,Kata Kerja
mengeluarkan,0.018021393746651956,VERB,Kata Kerja
membuka,0.017999814036661933,VERB,Kata Kerja
dilancarkan,0.017965325191578674,VERB,Kata Kerja
menolak,0.01790336411317304,VERB,Kata Kerja
ditemukan,0.017688507931190513,VERB,Kata Kerja
memperkuat,0.01751179885223682,VERB,Kata Kerja
berkuasa,0.01732340810128502,VERB,Kata Kerja
menyasar,0.01730975978035956,VERB,Kata Kerja
merespons,0.01719810565483061,VERB,Kata Kerja
menanggapi,0.016998336379681116,VERB,Kata Kerja
membawa,0.01690156169898845,VERB,Kata Kerja
berbicara,0.016789031775292274,VERB,Kata Kerja
meluas,0.016548121701640536,VERB,Kata Kerja
menentang,0.016330039617872785,VERB,Kata Kerja
beranggotakan,0.016182608687490403,VERB,Kata Kerja
dikonfirmasi,0.016099246009211032,VERB,Kata Kerja
dikabarkan,0.016077896776566205,VERB,Kata Kerja
diklaim,0.01601814665555597,VERB,Kata Kerja
disiarkan,0.015968335622146324,VERB,Kata Kerja
