Judul,Penerbit,Link,Tanggal Published
AS Habiskan Rp101 T Selama Sepekan Perang Lawan Iran,CNN,https://www.cnnindonesia.com/internasional/20260309142957-134-1335949/as-habiskan-rp101-t-selama-sepekan-perang-lawan-iran,09 Maret 2026
NATO Cegat Lagi Rudal Kedua Iran Masuk Wilayah Udara Turki,CNN,https://www.cnnindonesia.com/internasional/20260309203326-134-1336102/nato-cegat-lagi-rudal-kedua-iran-masuk-wilayah-udara-turki,09 Maret 2026
JK Tekankan RI Boleh Dukung BoP Kalau Trump Mau Mengakui Palestina,CNN,https://www.cnnindonesia.com/nasional/20260308153612-20-1335626/jk-tekankan-ri-boleh-dukung-bop-kalau-trump-mau-mengakui-palestina,09 Maret 2026
"Kilang Minyak Bahrain Diserang, Bapco Energies Umumkan Force Majeur",CNN,https://www.cnnindonesia.com/ekonomi/20260309173746-85-1336055/kilang-minyak-bahrain-diserang-bapco-energies-umumkan-force-majeur,09 Maret 2026
Petinggi Irak Berduka Khamenei Tewas: Pemimpin Syuhada,CNN,https://www.cnnindonesia.com/internasional/20260301120927-120-1333020/petinggi-irak-berduka-khamenei-tewas-pemimpin-syuhada,09 Maret 2026
"Israel Serang Hotel di Beirut Lebanon, 4 Orang Tewas",CNN,https://www.cnnindonesia.com/internasional/20260308141600-120-1335604/israel-serang-hotel-di-beirut-lebanon-4-orang-tewas,09 Maret 2026
"Khamenei Tewas, Presiden Iran Ancam Balas Israel-Amerika Serikat",CNN,https://www.cnnindonesia.com/internasional/20260301121938-120-1333026/khamenei-tewas-presiden-iran-ancam-balas-israel-amerika-serikat,09 Maret 2026
"Makin Panas, Trump Mau Kirim Kapal Induk Ketiga buat Serang Iran",CNN,https://www.cnnindonesia.com/internasional/20260308082228-120-1335499/makin-panas-trump-mau-kirim-kapal-induk-ketiga-buat-serang-iran,09 Maret 2026
"Ditekan Trump, Presiden Iran Bersumpah Tak Akan Nyerah ke AS-Israel",CNN,https://www.cnnindonesia.com/internasional/20260307162513-120-1335429/ditekan-trump-presiden-iran-bersumpah-tak-akan-nyerah-ke-as-israel,11 Maret 2026
"Berhasil Pulang, Gading Marten Tiba dengan Selamat di Jakarta",CNN,https://www.cnnindonesia.com/hiburan/20260306135505-234-1335057/berhasil-pulang-gading-marten-tiba-dengan-selamat-di-jakarta,09 Maret 2026
"Putin Telepon Presiden Iran, Bahas Stop Perang & Ucapkan Duka Cita",CNN,https://www.cnnindonesia.com/internasional/20260307151626-120-1335390/putin-telepon-presiden-iran-bahas-stop-perang-ucapkan-duka-cita,04 Maret 2026
"Iran Perang Habis-habisan Lawan AS, Kenapa Houthi Masih Diam?",CNN,https://www.cnnindonesia.com/internasional/20260309171236-120-1336049/iran-perang-habis-habisan-lawan-as-kenapa-houthi-masih-diam,09 Maret 2026
"Fakta Hari Ke-8 Perang Iran-AS: Trump Rugi Rp62 T 4 Hari, Rusia Untung",CNN,https://www.cnnindonesia.com/internasional/20260306210144-120-1335231/fakta-hari-ke-8-perang-iran-as-trump-rugi-rp62-t-4-hari-rusia-untung,11 Maret 2026
Pemimpin Tertinggi Iran Ali Khamenei: Lawan Perang Psikologis,CNN,https://www.cnnindonesia.com/internasional/20240815153715-120-1133453/pemimpin-tertinggi-iran-ali-khamenei-lawan-perang-psikologis,04 Maret 2026
Presiden Iran Minta Maaf ke Negara Arab yang Kena Imbas Perang Vs AS,CNN,https://www.cnnindonesia.com/internasional/20260307205612-120-1335467/presiden-iran-minta-maaf-ke-negara-arab-yang-kena-imbas-perang-vs-as,09 Maret 2026
JK soal BoP: Kalau Semua Berpihak ke AS-Israel Buat Apa Jadi Anggota?,CNN,https://www.cnnindonesia.com/internasional/20260306183636-106-1335166/jk-soal-bop-kalau-semua-berpihak-ke-as-israel-buat-apa-jadi-anggota,04 Maret 2026
Mojtaba Diklaim Punya Apartemen Mewah di London Dekat Kedubes Israel,CNN,https://www.cnnindonesia.com/internasional/20260310041409-134-1336131/mojtaba-diklaim-punya-apartemen-mewah-di-london-dekat-kedubes-israel,08 Maret 2026
"AS Klaim Akan Kuasai Penuh Wilayah Udara Iran, Sekitar 4-6 Pekan Lagi",CNN,https://www.cnnindonesia.com/internasional/20260307115946-134-1335328/as-klaim-akan-kuasai-penuh-wilayah-udara-iran-sekitar-4-6-pekan-lagi,08 Maret 2026
"China Kecam Perang Timur Tengah, Minta AS Kelola Perbedaan",CNN,https://www.cnnindonesia.com/internasional/20260308130837-113-1335598/china-kecam-perang-timur-tengah-minta-as-kelola-perbedaan,09 Maret 2026
Kemlu RI: Pembahasan Board of Peace Ditangguhkan,CNN,https://www.cnnindonesia.com/internasional/20260307091540-106-1335281/kemlu-ri-pembahasan-board-of-peace-ditangguhkan,09 Maret 2026
Fakta-fakta Hari ke-8 Perang Iran vs AS-Israel,CNN,https://www.cnnindonesia.com/internasional/20260308075607-120-1335496/fakta-fakta-hari-ke-8-perang-iran-vs-as-israel,09 Maret 2026
Penyataan Lengkap Khamenei soal Kematian Pemimpin Hamas Haniyeh,CNN,https://www.cnnindonesia.com/internasional/20240801153215-120-1128133/penyataan-lengkap-khamenei-soal-kematian-pemimpin-hamas-haniyeh,09 Maret 2026
